"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"418","12200901","Fulda Robert-Kircher-Straße","","50.550581394","9.673573226","2001","","0","","",""
"419","12200902","Fulda Robert-Kircher-Straße","","50.550104197","9.67388168","2001","","0","","",""
"420","12221101","Fulda Ronsbachstraße","","50.53664","9.678762","2001","","0","","",""
"421","12221102","Fulda Ronsbachstraße","","50.536578","9.678673","2001","","0","","",""
"422","12211601","Fulda Schannatstraße","","50.569177","9.654322","2001","","0","","",""
"423","12211602","Fulda Schannatstraße","","50.569048","9.654527","2001","","0","","",""
"424","12207401","Fulda Schillerstraße","","50.549677","9.702093","2001","","0","","",""
"425","12233101","Fulda Schlitzer Straße","","50.567059201","9.653723538","2001","","0","","",""
"426","12233102","Fulda Schlitzer Straße","","50.567147792","9.653500915","2001","","0","","",""
"427","12209001","Fulda Schumannstraße","","50.546222","9.701142","2001","","0","","",""
"428","12209002","Fulda Schumannstraße","","50.546345","9.701162","2001","","0","","",""
"429","12209003","Fulda Schumannstraße","","50.546282185","9.699677825","2001","","0","","",""
"430","12209004","Fulda Schumannstraße","","50.54647308","9.700798988","2001","","0","","",""
"431","12201801","Fulda Stadion","","50.539932","9.663307","2001","","0","","",""
"432","12201802","Fulda Stadion","","50.539942","9.663178","2001","","0","","",""
"433","12236601","Fulda St. Johannes-Kirche","","50.552815635","9.711112082","2055","","0","","",""
"434","12236602","Fulda St. Johannes-Kirche","","50.552876986","9.711149633","2055","","0","","",""
"435","12200801","Fulda Stadtschloss","","50.553672407","9.676752985","2001","","0","","",""
"436","12200802","Fulda Stadtschloss","","50.553718419","9.676824063","2001","","0","","",""
"437","12200803","Fulda Stadtschloss","","50.553759319","9.676921964","2001","","0","","",""
"438","12200804","Fulda Stadtschloss","","50.553803627","9.6770145","2001","","0","","",""
"439","12200805","Fulda Stadtschloss","","50.55384623","9.677089602","2001","","0","","",""
